MishearID,TagID
iimatugai_2398_001,KIKIMATSUGAI
iimatugai_2398_001,JAPANESE_LANGUAGE
iimatugai_2398_001,OUTDOOR_ANNOUNCE
iimatugai_2398_002,KIKIMATSUGAI
iimatugai_2398_002,JAPANESE_LANGUAGE
iimatugai_2398_002,TELEVISION
iimatugai_2398_003,KIKIMATSUGAI
iimatugai_2398_003,JAPANESE_LANGUAGE
iimatugai_2398_003,TELEVISION
iimatugai_2398_004,KIKIMATSUGAI
iimatugai_2398_004,JAPANESE_LANGUAGE
iimatugai_2398_004,PUBLIC_BROADCAST
iimatugai_2398_005,KIKIMATSUGAI
iimatugai_2398_005,JAPANESE_LANGUAGE
iimatugai_2398_005,TELEVISION
iimatugai_2398_006,KIKIMATSUGAI
iimatugai_2398_006,JAPANESE_LANGUAGE
iimatugai_2398_006,CONVERSATION
iimatugai_2398_007,KIKIMATSUGAI
iimatugai_2398_007,JAPANESE_LANGUAGE
iimatugai_2398_007,CONVERSATION
iimatugai_2398_008,KIKIMATSUGAI
iimatugai_2398_008,JAPANESE_LANGUAGE
iimatugai_2398_008,RAILWAY
iimatugai_2398_009,KIKIMATSUGAI
iimatugai_2398_009,JAPANESE_LANGUAGE
iimatugai_2398_009,WORKPLACE
