MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,SpeakerID,ListenerID,Language,Tags,Envs
anond20150713150524_001,弱ったトウガラシまである,よかったトウモロコシまだある,雑音下で注意,スーパーで妻の発話を聞き間違い,True,anond20150713150524,https://anond.hatelabo.jp/20150713150524,,,日本語,"['聞き間違い', '発達障害', '日常生活', 'スーパー', '夫婦']","['スーパー', '雑音']"
anond20150713150524_002,ウリとキウィやなあ,割と小さいなあ,雑音下で注意,同上,True,anond20150713150524,https://anond.hatelabo.jp/20150713150524,,,日本語,"['聞き間違い', '発達障害', '日常生活', 'スーパー', '夫婦']","['スーパー', '雑音']"
anond20150713150524_003,スイカのみ別やね,スイカの季節やね,雑音下で注意,同上,True,anond20150713150524,https://anond.hatelabo.jp/20150713150524,,,日本語,"['聞き間違い', '発達障害', '日常生活', 'スーパー', '夫婦']","['スーパー', '雑音']"
anond20150713150524_004,レンジにツナ,ネギいるかな？,雑音下で注意,同上,True,anond20150713150524,https://anond.hatelabo.jp/20150713150524,,,日本語,"['聞き間違い', '発達障害', '日常生活', 'スーパー', '夫婦']","['スーパー', '雑音']"
anond20150713150524_005,朝のパンにパニーニ？,朝ごはんにパンいる？,雑音下で注意,同上,True,anond20150713150524,https://anond.hatelabo.jp/20150713150524,,,日本語,"['聞き間違い', '発達障害', '日常生活', 'スーパー', '夫婦']","['スーパー', '雑音']"
anond20150713150524_006,ゴーヤチャンプルー苦かったマズイかな,ゴーヤチャンプルーにはまだ早いかな,雑音下で注意,同上,True,anond20150713150524,https://anond.hatelabo.jp/20150713150524,,,日本語,"['聞き間違い', '発達障害', '日常生活', 'スーパー', '夫婦']","['スーパー', '雑音']"
anond20150713150524_007,タマゴみつかった,軟骨なかった,雑音下で注意,同上,True,anond20150713150524,https://anond.hatelabo.jp/20150713150524,,,日本語,"['聞き間違い', '発達障害', '日常生活', 'スーパー', '夫婦']","['スーパー', '雑音']"
anond20150713150524_008,ワクテカッ,肉でかっ,雑音下で注意,同上,True,anond20150713150524,https://anond.hatelabo.jp/20150713150524,,,日本語,"['聞き間違い', '発達障害', '日常生活', 'スーパー', '夫婦']","['スーパー', '雑音']"
anond20150713150524_009,神様 is here,カニカマいるかな,雑音下で注意,同上,True,anond20150713150524,https://anond.hatelabo.jp/20150713150524,,,日本語,"['聞き間違い', '発達障害', '日常生活', 'スーパー', '夫婦']","['スーパー', '雑音']"
anond20150713150524_010,遠くまで草津 and 蓮,豆腐はまだ二つあったはず,雑音下で注意,同上,True,anond20150713150524,https://anond.hatelabo.jp/20150713150524,,,日本語,"['聞き間違い', '発達障害', '日常生活', 'スーパー', '夫婦']","['スーパー', '雑音']"
anond20150713150524_011,納豆まであるのね,納豆まだあるよね,雑音下で注意,同上,True,anond20150713150524,https://anond.hatelabo.jp/20150713150524,,,日本語,"['聞き間違い', '発達障害', '日常生活', 'スーパー', '夫婦']","['スーパー', '雑音']"
anond20150713150524_012,サンドパン並に塩？,晩御飯なににしよう,雑音下で注意,同上,True,anond20150713150524,https://anond.hatelabo.jp/20150713150524,,,日本語,"['聞き間違い', '発達障害', '日常生活', 'スーパー', '夫婦']","['スーパー', '雑音']"
anond20150713150524_013,えばだでっちニュアってョ,枝豆あっちに売ってたよ,雑音下で注意,同上,True,anond20150713150524,https://anond.hatelabo.jp/20150713150524,,,日本語,"['聞き間違い', '発達障害', '日常生活', 'スーパー', '夫婦']","['スーパー', '雑音']"
anond20150713150524_014,冷凍枝豆健康だわ買ったわ,冷凍枝豆結構高かったわ,雑音下で注意,同上,True,anond20150713150524,https://anond.hatelabo.jp/20150713150524,,,日本語,"['聞き間違い', '発達障害', '日常生活', 'スーパー', '夫婦']","['スーパー', '雑音']"
anond20150713150524_015,ゴマ on the ピーチビール、ワオ！でかした,こないだのピーチビールは美味しかった,雑音下で注意,同上,True,anond20150713150524,https://anond.hatelabo.jp/20150713150524,,,日本語,"['聞き間違い', '発達障害', '日常生活', 'スーパー', '夫婦']","['スーパー', '雑音']"
anond20150713150524_016,Ready and Go?,レジいくで,雑音下で注意,同上,True,anond20150713150524,https://anond.hatelabo.jp/20150713150524,,,日本語,"['聞き間違い', '発達障害', '日常生活', 'スーパー', '夫婦']","['スーパー', '雑音']"
