MishearID,EnvID
coffee_break_parts_similar201405_001,TRANSCRIPTION
coffee_break_parts_similar201405_002,TRANSCRIPTION
coffee_break_parts_similar201405_003,TRANSCRIPTION
coffee_break_parts_similar201405_004,TRANSCRIPTION
coffee_break_parts_similar201405_005,TRANSCRIPTION
coffee_break_parts_similar201405_006,TRANSCRIPTION
coffee_break_parts_similar201405_007,TRANSCRIPTION
coffee_break_parts_similar201405_008,TRANSCRIPTION
coffee_break_parts_similar201405_009,TRANSCRIPTION
coffee_break_parts_similar201405_010,TRANSCRIPTION
