MishearID,EnvID
coffee_break_parts_similar201311_001,TRANSCRIPTION
coffee_break_parts_similar201311_002,TRANSCRIPTION
coffee_break_parts_similar201311_003,TRANSCRIPTION
coffee_break_parts_similar201311_004,TRANSCRIPTION
coffee_break_parts_similar201311_005,TRANSCRIPTION
coffee_break_parts_similar201311_006,TRANSCRIPTION
coffee_break_parts_similar201311_007,TRANSCRIPTION
coffee_break_parts_similar201311_008,TRANSCRIPTION
coffee_break_parts_similar201311_009,TRANSCRIPTION
coffee_break_parts_similar201311_010,TRANSCRIPTION
