MishearID,EnvID
coffee_break_parts_similar201104_001,TRANSCRIPTION
coffee_break_parts_similar201104_002,TRANSCRIPTION
coffee_break_parts_similar201104_003,TRANSCRIPTION
coffee_break_parts_similar201104_004,TRANSCRIPTION
coffee_break_parts_similar201104_005,TRANSCRIPTION
coffee_break_parts_similar201104_006,TRANSCRIPTION
coffee_break_parts_similar201104_007,TRANSCRIPTION
coffee_break_parts_similar201104_008,TRANSCRIPTION
coffee_break_parts_similar201104_009,TRANSCRIPTION
coffee_break_parts_similar201104_010,TRANSCRIPTION
