MishearID,EnvID
coffee_break_parts_similar201301_001,TRANSCRIPTION
coffee_break_parts_similar201301_002,TRANSCRIPTION
coffee_break_parts_similar201301_003,TRANSCRIPTION
coffee_break_parts_similar201301_004,TRANSCRIPTION
coffee_break_parts_similar201301_005,TRANSCRIPTION
coffee_break_parts_similar201301_006,TRANSCRIPTION
coffee_break_parts_similar201301_007,TRANSCRIPTION
coffee_break_parts_similar201301_008,TRANSCRIPTION
coffee_break_parts_similar201301_009,TRANSCRIPTION
coffee_break_parts_similar201301_010,TRANSCRIPTION
