MishearID,EnvID
coffee_break_parts_similar201012_001,TRANSCRIPTION
coffee_break_parts_similar201012_002,TRANSCRIPTION
coffee_break_parts_similar201012_003,TRANSCRIPTION
coffee_break_parts_similar201012_004,TRANSCRIPTION
coffee_break_parts_similar201012_005,TRANSCRIPTION
coffee_break_parts_similar201012_006,TRANSCRIPTION
coffee_break_parts_similar201012_007,TRANSCRIPTION
coffee_break_parts_similar201012_008,TRANSCRIPTION
coffee_break_parts_similar201012_009,TRANSCRIPTION
coffee_break_parts_similar201012_010,TRANSCRIPTION
