MishearID,EnvID
coffee_break_parts_similar200601_001,TRANSCRIPTION
coffee_break_parts_similar200601_002,TRANSCRIPTION
coffee_break_parts_similar200601_003,TRANSCRIPTION
coffee_break_parts_similar200601_004,TRANSCRIPTION
coffee_break_parts_similar200601_005,TRANSCRIPTION
coffee_break_parts_similar200601_006,TRANSCRIPTION
coffee_break_parts_similar200601_007,TRANSCRIPTION
coffee_break_parts_similar200601_008,TRANSCRIPTION
coffee_break_parts_similar200601_009,TRANSCRIPTION
coffee_break_parts_similar200601_010,TRANSCRIPTION
