MishearID,EnvID
coffee_break_parts_similar200412_001,MOJIOKOSHI
coffee_break_parts_similar200412_002,MOJIOKOSHI
coffee_break_parts_similar200412_003a,MOJIOKOSHI
coffee_break_parts_similar200412_003b,MOJIOKOSHI
coffee_break_parts_similar200412_004,MOJIOKOSHI
coffee_break_parts_similar200412_005,MOJIOKOSHI
coffee_break_parts_similar200412_006,MOJIOKOSHI
coffee_break_parts_similar200412_007,MOJIOKOSHI
coffee_break_parts_similar200412_008,MOJIOKOSHI
coffee_break_parts_similar200412_009,MOJIOKOSHI
coffee_break_parts_similar200412_010,MOJIOKOSHI
