MishearID,EnvID
coffee_break_parts_similar200805_001,TRANSCRIPTION
coffee_break_parts_similar200805_002,TRANSCRIPTION
coffee_break_parts_similar200805_003,TRANSCRIPTION
coffee_break_parts_similar200805_004,TRANSCRIPTION
coffee_break_parts_similar200805_005,TRANSCRIPTION
coffee_break_parts_similar200805_006,TRANSCRIPTION
coffee_break_parts_similar200805_007,TRANSCRIPTION
coffee_break_parts_similar200805_008,TRANSCRIPTION
coffee_break_parts_similar200805_009,TRANSCRIPTION
coffee_break_parts_similar200805_010,TRANSCRIPTION
