MishearID,EnvID
coffee_break_parts_similar200407_001,TRANSCRIPTION
coffee_break_parts_similar200407_002,TRANSCRIPTION
coffee_break_parts_similar200407_003,TRANSCRIPTION
coffee_break_parts_similar200407_004,TRANSCRIPTION
coffee_break_parts_similar200407_005,TRANSCRIPTION
coffee_break_parts_similar200407_006,TRANSCRIPTION
coffee_break_parts_similar200407_007,TRANSCRIPTION
coffee_break_parts_similar200407_008,TRANSCRIPTION
coffee_break_parts_similar200407_009,TRANSCRIPTION
coffee_break_parts_similar200407_010,TRANSCRIPTION
