MishearID,EnvID
coffee_break_parts_similar200701_001,TRANSCRIPTION
coffee_break_parts_similar200701_002,TRANSCRIPTION
coffee_break_parts_similar200701_003,TRANSCRIPTION
coffee_break_parts_similar200701_004,TRANSCRIPTION
coffee_break_parts_similar200701_005,TRANSCRIPTION
coffee_break_parts_similar200701_006,TRANSCRIPTION
coffee_break_parts_similar200701_007,TRANSCRIPTION
coffee_break_parts_similar200701_008,TRANSCRIPTION
coffee_break_parts_similar200701_009,TRANSCRIPTION
coffee_break_parts_similar200701_010,TRANSCRIPTION
