MishearID,EnvID
coffee_break_parts_similar201402_001,TRANSCRIPTION
coffee_break_parts_similar201402_002,TRANSCRIPTION
coffee_break_parts_similar201402_003,TRANSCRIPTION
coffee_break_parts_similar201402_004,TRANSCRIPTION
coffee_break_parts_similar201402_005,TRANSCRIPTION
coffee_break_parts_similar201402_006,TRANSCRIPTION
coffee_break_parts_similar201402_007,TRANSCRIPTION
coffee_break_parts_similar201402_008,TRANSCRIPTION
coffee_break_parts_similar201402_009,TRANSCRIPTION
coffee_break_parts_similar201402_010,TRANSCRIPTION
