MishearID,EnvID
coffee_break_parts_similar200911_001,TRANSCRIPTION
coffee_break_parts_similar200911_002,TRANSCRIPTION
coffee_break_parts_similar200911_003,TRANSCRIPTION
coffee_break_parts_similar200911_004,TRANSCRIPTION
coffee_break_parts_similar200911_005,TRANSCRIPTION
coffee_break_parts_similar200911_006,TRANSCRIPTION
coffee_break_parts_similar200911_007,TRANSCRIPTION
coffee_break_parts_similar200911_008,TRANSCRIPTION
coffee_break_parts_similar200911_009,TRANSCRIPTION
coffee_break_parts_similar200911_010,TRANSCRIPTION
