MishearID,EnvID
coffee_break_parts_similar201512_001,TRANSCRIPTION
coffee_break_parts_similar201512_002,TRANSCRIPTION
coffee_break_parts_similar201512_003,TRANSCRIPTION
coffee_break_parts_similar201512_004,TRANSCRIPTION
coffee_break_parts_similar201512_005,TRANSCRIPTION
coffee_break_parts_similar201512_006,TRANSCRIPTION
coffee_break_parts_similar201512_007,TRANSCRIPTION
coffee_break_parts_similar201512_008,TRANSCRIPTION
coffee_break_parts_similar201512_009,TRANSCRIPTION
coffee_break_parts_similar201512_010,TRANSCRIPTION
