MishearID,EnvID
coffee_break_parts_similar201602_001,TRANSCRIPTION
coffee_break_parts_similar201602_002,TRANSCRIPTION
coffee_break_parts_similar201602_003,TRANSCRIPTION
coffee_break_parts_similar201602_004,TRANSCRIPTION
coffee_break_parts_similar201602_005,TRANSCRIPTION
coffee_break_parts_similar201602_006,TRANSCRIPTION
coffee_break_parts_similar201602_007,TRANSCRIPTION
coffee_break_parts_similar201602_008,TRANSCRIPTION
coffee_break_parts_similar201602_009,TRANSCRIPTION
coffee_break_parts_similar201602_010,TRANSCRIPTION
