MishearID,EnvID
coffee_break_parts_similar201401_001,TRANSCRIPTION
coffee_break_parts_similar201401_002,TRANSCRIPTION
coffee_break_parts_similar201401_003,TRANSCRIPTION
coffee_break_parts_similar201401_004,TRANSCRIPTION
coffee_break_parts_similar201401_005,TRANSCRIPTION
coffee_break_parts_similar201401_006,TRANSCRIPTION
coffee_break_parts_similar201401_007,TRANSCRIPTION
coffee_break_parts_similar201401_008,TRANSCRIPTION
coffee_break_parts_similar201401_009,TRANSCRIPTION
coffee_break_parts_similar201401_010,TRANSCRIPTION
