MishearID,EnvID
coffee_break_parts_similar200906_001,TRANSCRIPTION
coffee_break_parts_similar200906_002,TRANSCRIPTION
coffee_break_parts_similar200906_003,TRANSCRIPTION
coffee_break_parts_similar200906_004,TRANSCRIPTION
coffee_break_parts_similar200906_005,TRANSCRIPTION
coffee_break_parts_similar200906_006,TRANSCRIPTION
coffee_break_parts_similar200906_007,TRANSCRIPTION
coffee_break_parts_similar200906_008,TRANSCRIPTION
coffee_break_parts_similar200906_009,TRANSCRIPTION
coffee_break_parts_similar200906_010,TRANSCRIPTION
