MishearID,EnvID
coffee_break_parts_similar200910_001,TRANSCRIPTION
coffee_break_parts_similar200910_002,TRANSCRIPTION
coffee_break_parts_similar200910_003,TRANSCRIPTION
coffee_break_parts_similar200910_004,TRANSCRIPTION
coffee_break_parts_similar200910_005,TRANSCRIPTION
coffee_break_parts_similar200910_006,TRANSCRIPTION
coffee_break_parts_similar200910_007,TRANSCRIPTION
coffee_break_parts_similar200910_008,TRANSCRIPTION
coffee_break_parts_similar200910_009,TRANSCRIPTION
coffee_break_parts_similar200910_010,TRANSCRIPTION
