MishearID,EnvID
coffee_break_parts_similar200901_001,TRANSCRIPTION
coffee_break_parts_similar200901_002,TRANSCRIPTION
coffee_break_parts_similar200901_003,TRANSCRIPTION
coffee_break_parts_similar200901_004,TRANSCRIPTION
coffee_break_parts_similar200901_005,TRANSCRIPTION
coffee_break_parts_similar200901_006,TRANSCRIPTION
coffee_break_parts_similar200901_007,TRANSCRIPTION
coffee_break_parts_similar200901_008,TRANSCRIPTION
coffee_break_parts_similar200901_009,TRANSCRIPTION
coffee_break_parts_similar200901_010,TRANSCRIPTION
