MishearID,EnvID
coffee_break_parts_similar201406_001,TRANSCRIPTION
coffee_break_parts_similar201406_002,TRANSCRIPTION
coffee_break_parts_similar201406_003,TRANSCRIPTION
coffee_break_parts_similar201406_004,TRANSCRIPTION
coffee_break_parts_similar201406_005,TRANSCRIPTION
coffee_break_parts_similar201406_006,TRANSCRIPTION
coffee_break_parts_similar201406_007,TRANSCRIPTION
coffee_break_parts_similar201406_008,TRANSCRIPTION
coffee_break_parts_similar201406_009,TRANSCRIPTION
coffee_break_parts_similar201406_010,TRANSCRIPTION
