MishearID,EnvID
coffee_break_parts_similar201502_001,TRANSCRIPTION
coffee_break_parts_similar201502_002,TRANSCRIPTION
coffee_break_parts_similar201502_003,TRANSCRIPTION
coffee_break_parts_similar201502_004,TRANSCRIPTION
coffee_break_parts_similar201502_005,TRANSCRIPTION
coffee_break_parts_similar201502_006,TRANSCRIPTION
coffee_break_parts_similar201502_007,TRANSCRIPTION
coffee_break_parts_similar201502_008,TRANSCRIPTION
coffee_break_parts_similar201502_009,TRANSCRIPTION
coffee_break_parts_similar201502_010,TRANSCRIPTION
