MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,SpeakerID,ListenerID,Language,Tags,Envs
coffee_break_parts_similar200708_001,境浄水場の公園化ですが、あそこは緩速ろ過方式という、自然にろ過していく貴重な浄水場で、災害時にも動かすことができる。,境浄水場の公園化ですが、あそこは観測ろ過方式という、自然にろ過していく貴重な浄水場で、災害時にも動かすことができる。,「緩速」と「観測」は音が似ているため注意。,会議や説明会での発言を速記者が記録。専門用語の聞き取りミス。,True,coffee_break_parts_similar200708,N/A,不明,速記者,日本語,"['行政', '速記', '聞き間違い']",['文字起こし']
coffee_break_parts_similar200708_002,今、先進自治体では、民間市場に合わせた会計制度にしようという流れがある。わかりやすい公会計制度が必要だと思うが……。,今、先進自治体では、民間市場に合わせた会計制度にしようという流れがある。わかりやすい公開制度が必要だと思うが……。,「公会計」と「公開」は発音が近い。,行政関係の会議での発言。会計用語と一般用語の混同による誤記。,True,coffee_break_parts_similar200708,N/A,不明,速記者,日本語,"['行政', 'ビジネス', '速記']",['文字起こし']
coffee_break_parts_similar200708_003,ＧＤＰの改定値が3.1％と上方修正されたほか、国内需要デフレーター前年同期比でプラスに転じたという様相があるが～,ＧＤＰの改定値が3.1％と上方修正されたほか、国内需要で触れた前年同期でプラスに転じたという予想があるが～,専門用語の連続は特に注意。,経済指標に関する発言。複数の専門用語が連続し、速記者が正確に聞き取れなかった。,True,coffee_break_parts_similar200708,N/A,不明,速記者,日本語,"['金融', 'ビジネス', '速記']",['文字起こし']
coffee_break_parts_similar200708_004,議案第150号の、特定優良賃貸住宅建設費補助金ですが～,議案第150号の、特定有料賃貸住宅建設費補助金ですが～,「優良」と「有料」は音が似ている。,議会での議案説明。行政用語の聞き間違い。,True,coffee_break_parts_similar200708,N/A,不明,速記者,日本語,"['行政', '速記']",['文字起こし']
coffee_break_parts_similar200708_005,65歳雇用確保の導入に関する諸制度の見直しの件は、至近年の各自の能力、成果を的確に反映し、報いる給与制度を議論してきた～,65歳雇用確保の導入に関する諸制度の見直しの件は、資金面の各自の能力、成果を的確に反映し、報いる給与制度を議論してきた～,「至近年」と「資金面」は発音が似ている。,労働政策に関する会議。文脈から外れた単語への誤変換。,True,coffee_break_parts_similar200708,N/A,不明,速記者,日本語,"['労働', 'ビジネス', '速記']",['文字起こし']
coffee_break_parts_similar200708_006,法令遵守及び安全意識の再徹底をしていただきたい。,法令遵守及び安全意識の再決定をしていただきたい。,「再徹底」と「再決定」は語感が近い。,会議や報告の場での発言。再確認や徹底の意味を誤って記録。,True,coffee_break_parts_similar200708,N/A,不明,速記者,日本語,"['ビジネス', '速記']",['文字起こし']
coffee_break_parts_similar200708_007,同グループ内の経営統合ということで、みずほグループが傘下の証券会社の再編・統合に向けて一歩進んだと思う。,同グループ内の系統ということで、みずほグループが傘下の証券会社の再編・統合に向けて一歩進んだと思う。,「経営統合」と「系統」は音が似ている。,金融業界の再編に関する発言。業界用語の聞き間違い。,True,coffee_break_parts_similar200708,N/A,不明,速記者,日本語,"['金融', 'ビジネス', '速記']",['文字起こし']
coffee_break_parts_similar200708_008,マーリキ首相によるバグダッド治安対策が講じられているが、引き続き治安情勢には厳しいものがある。,マーリキ首相による爆弾と治安対策が講じられているが、引き続き治安情勢には厳しいものがある。,「バグダッド」と「爆弾と」は音が似ている。,国際情勢に関する報告。地名と一般名詞の聞き間違い。,True,coffee_break_parts_similar200708,N/A,不明,速記者,日本語,"['国際', '政治', '速記']",['文字起こし']
coffee_break_parts_similar200708_009,新幹線地方本部として、統一地方選で推薦する候補者の名前が出ていないが、実は、箱根以東ＪＲの労働情勢をご存じだと思いますが～,新幹線地方本部として、統一地方選で推薦する候補者の名前が出ていないが、実は、箱根、伊東のＪＲの労働状勢をご存じだと思いますが～,地名や用語の連続は特に注意。,労働組合関係の会議。地名や専門用語の連続による誤記。,True,coffee_break_parts_similar200708,N/A,不明,速記者,日本語,"['労働', '行政', '速記']",['文字起こし']
coffee_break_parts_similar200708_010,中国における訪日団体観光査証発給の全土拡大に伴う査証発給公館の拡大ということで、重慶の総領事館を追加した取り組みについて～,中国における訪日団体観光査証発給の全土拡大に伴う査証発給効果の拡大ということで、重慶の総領事館を追加した取り組みについて～,「公館」と「効果」は発音が近い。,外交・観光政策に関する会議。専門用語の聞き間違い。,True,coffee_break_parts_similar200708,N/A,不明,速記者,日本語,"['行政', '国際', '速記']",['文字起こし']
