MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,Language,Tags,Envs
komachi_212663_001,スワ,スガ,さ行は聞き取りにくい,電話や対面で頻繁に間違えられる。,True,komachi_212663,https://komachi.yomiuri.co.jp/topics/id/212663/,日本語,"['名前', '苗字', '聞き間違い', '電話対応', '日本語', 'コミュニケーション', '生活']","['電話', '店舗', '対面会話']"
komachi_212663_002,スワ,ツワ,さ行は聞き取りにくい,レンタカー手配時の書類で間違えられた。,True,komachi_212663,https://komachi.yomiuri.co.jp/topics/id/212663/,日本語,"['名前', '苗字', '聞き間違い', '電話対応', '日本語', 'コミュニケーション', '生活']","['店舗', '書類記入']"
komachi_212663_003,スワ,スワン,さ行は聞き取りにくい,レストランで満席時に「スワン様」と呼ばれた。,True,komachi_212663,https://komachi.yomiuri.co.jp/topics/id/212663/,日本語,"['名前', '苗字', '聞き間違い', '電話対応', '日本語', 'コミュニケーション', '生活']",['店舗']
komachi_212663_005,スガ,スワ,さ行は聞き取りにくい,スガさんがスワさんと間違えられることも。,True,komachi_212663,https://komachi.yomiuri.co.jp/topics/id/212663/,日本語,"['名前', '苗字', '聞き間違い', '電話対応', '日本語', 'コミュニケーション', '生活']",['電話']
komachi_212663_006,フマ,ウマ,ふ行は聞き取りにくい,フマさんがウマさんと間違えられる。,True,komachi_212663,https://komachi.yomiuri.co.jp/topics/id/212663/,日本語,"['名前', '苗字', '聞き間違い', '電話対応', '日本語', 'コミュニケーション', '生活']",['電話']
komachi_212663_007,フマ,クマ,ふ行は聞き取りにくい,フマさんがクマさんと間違えられる。,True,komachi_212663,https://komachi.yomiuri.co.jp/topics/id/212663/,日本語,"['名前', '苗字', '聞き間違い', '電話対応', '日本語', 'コミュニケーション', '生活']",['電話']
komachi_212663_008,コサカ,オサカ,か行・さ行は聞き取りにくい,コサカさんがオサカさんと間違えられる。,True,komachi_212663,https://komachi.yomiuri.co.jp/topics/id/212663/,日本語,"['名前', '苗字', '聞き間違い', '電話対応', '日本語', 'コミュニケーション', '生活']",['電話']
komachi_212663_009,コサカ,ホサカ,か行・さ行は聞き取りにくい,コサカさんがホサカさんと間違えられる。,True,komachi_212663,https://komachi.yomiuri.co.jp/topics/id/212663/,日本語,"['名前', '苗字', '聞き間違い', '電話対応', '日本語', 'コミュニケーション', '生活']",['電話']
komachi_212663_010,コサカ,オオサカ,か行・さ行は聞き取りにくい,コサカさんがオオサカさんと間違えられる。,True,komachi_212663,https://komachi.yomiuri.co.jp/topics/id/212663/,日本語,"['名前', '苗字', '聞き間違い', '電話対応', '日本語', 'コミュニケーション', '生活']",['電話']
komachi_212663_011,ジュンコ,ジュンド,ん・どの聞き間違い,成田空港のパーキングで「ジュンド」と書かれた。,True,komachi_212663,https://komachi.yomiuri.co.jp/topics/id/212663/,日本語,"['名前', '聞き間違い', '生活']","['店舗', '書類記入']"
komachi_212663_012,小松,小町,ま行・ち行の聞き間違い,居酒屋予約で「小町様」と案内された。,True,komachi_212663,https://komachi.yomiuri.co.jp/topics/id/212663/,日本語,"['名前', '聞き間違い', '生活']",['店舗']
komachi_212663_013,エンドウ,ゲンドウ,え・げの聞き間違い,宅配ピザで「ゲンドウ様」と聞き返された。,True,komachi_212663,https://komachi.yomiuri.co.jp/topics/id/212663/,日本語,"['名前', '聞き間違い', '生活']",['電話']
komachi_212663_014,エンドウ,デンドン,え・での聞き間違い,宅配ピザの伝票で「デンドン様」と書かれた。,True,komachi_212663,https://komachi.yomiuri.co.jp/topics/id/212663/,日本語,"['名前', '聞き間違い', '生活']","['店舗', '書類記入']"
komachi_212663_015,敦子,あきこ,つ・きの聞き間違い,電話で「あきこ様ですね」と言われる。,True,komachi_212663,https://komachi.yomiuri.co.jp/topics/id/212663/,日本語,"['名前', '聞き間違い', '生活']",['電話']
