MishearID,EnvID
www_1101_com_iimatugai_2010-02-16_html_001,CAR
www_1101_com_iimatugai_2010-02-16_html_001,FAMILY
www_1101_com_iimatugai_2010-02-16_html_001,QUIET
www_1101_com_iimatugai_2010-02-16_html_002,HOME
www_1101_com_iimatugai_2010-02-16_html_002,CONVERSATION
www_1101_com_iimatugai_2010-02-16_html_002,QUIET
www_1101_com_iimatugai_2010-02-16_html_003,HOME
www_1101_com_iimatugai_2010-02-16_html_003,MAGAZINE
www_1101_com_iimatugai_2010-02-16_html_003,NORMAL_LIFE_NOISE
www_1101_com_iimatugai_2010-02-16_html_004,HOME
www_1101_com_iimatugai_2010-02-16_html_004,TELEVISION
www_1101_com_iimatugai_2010-02-16_html_004,LIFE_NOISE
www_1101_com_iimatugai_2010-02-16_html_005,HOME
www_1101_com_iimatugai_2010-02-16_html_005,TELEVISION
www_1101_com_iimatugai_2010-02-16_html_005,LIFE_NOISE
www_1101_com_iimatugai_2010-02-16_html_006,HOME
www_1101_com_iimatugai_2010-02-16_html_006,CONVERSATION
www_1101_com_iimatugai_2010-02-16_html_006,QUIET
www_1101_com_iimatugai_2010-02-16_html_007,HOME
www_1101_com_iimatugai_2010-02-16_html_007,CONVERSATION
www_1101_com_iimatugai_2010-02-16_html_007,QUIET
www_1101_com_iimatugai_2010-02-16_html_008,CONVENIENCE_STORE
www_1101_com_iimatugai_2010-02-16_html_008,CASH_REGISTER
www_1101_com_iimatugai_2010-02-16_html_008,NOISY
www_1101_com_iimatugai_2010-02-16_html_008,IN_STORE_BGM
