MishearID,EnvID
www_1101_com_m_iimatugai_2762_html_001,BUS_INSIDE
www_1101_com_m_iimatugai_2762_html_001,ANNOUNCE
www_1101_com_m_iimatugai_2762_html_001,PUBLIC_TRANSPORT
www_1101_com_m_iimatugai_2762_html_001,NOISY
www_1101_com_m_iimatugai_2762_html_002,HIGHWAY
www_1101_com_m_iimatugai_2762_html_002,INSIDE_CAR
www_1101_com_m_iimatugai_2762_html_002,TRAFFIC_JAM
www_1101_com_m_iimatugai_2762_html_002,NOISE_PRESENT
www_1101_com_m_iimatugai_2762_html_003,HOME
www_1101_com_m_iimatugai_2762_html_003,MORNING
www_1101_com_m_iimatugai_2762_html_003,WAKING_UP
www_1101_com_m_iimatugai_2762_html_003,CURTAIN
www_1101_com_m_iimatugai_2762_html_003,CONVERSATION
www_1101_com_m_iimatugai_2762_html_004,CAFE
www_1101_com_m_iimatugai_2762_html_004,STARBUCKS
www_1101_com_m_iimatugai_2762_html_004,INSIDE_STORE
www_1101_com_m_iimatugai_2762_html_004,CONVERSATION
www_1101_com_m_iimatugai_2762_html_005,TAXI_INSIDE
www_1101_com_m_iimatugai_2762_html_005,RADIO
www_1101_com_m_iimatugai_2762_html_005,NIGHT
www_1101_com_m_iimatugai_2762_html_005,RAIN
www_1101_com_m_iimatugai_2762_html_005,DRIVING
www_1101_com_m_iimatugai_2762_html_006,HOME
www_1101_com_m_iimatugai_2762_html_006,KITCHEN
www_1101_com_m_iimatugai_2762_html_006,TV_AUDIO_ONLY
www_1101_com_m_iimatugai_2762_html_006,BASEBALL_BROADCAST
