MishearID,EnvID
www_1101_com_iimatugai_archive_more060621_001,IZAKAYA
www_1101_com_iimatugai_archive_more060621_001,NOISY
www_1101_com_iimatugai_archive_more060621_001,MULTIPLE_PEOPLE
www_1101_com_iimatugai_archive_more060621_002,SCHOOL_CAFETERIA
www_1101_com_iimatugai_archive_more060621_002,STUDENT
www_1101_com_iimatugai_archive_more060621_002,CHAT
www_1101_com_iimatugai_archive_more060621_003,HOME
www_1101_com_iimatugai_archive_more060621_003,PARENT_CHILD
www_1101_com_iimatugai_archive_more060621_003,QUIET
www_1101_com_iimatugai_archive_more060621_004,WORKPLACE
www_1101_com_iimatugai_archive_more060621_004,MOVIE_THEATER
www_1101_com_iimatugai_archive_more060621_004,COLLEAGUE
www_1101_com_iimatugai_archive_more060621_005,INSIDE_CAR
www_1101_com_iimatugai_archive_more060621_005,RAIN
www_1101_com_iimatugai_archive_more060621_005,DRIVING
www_1101_com_iimatugai_archive_more060621_006,SCHOOL
www_1101_com_iimatugai_archive_more060621_006,CLASSMATE
www_1101_com_iimatugai_archive_more060621_007,HOME
www_1101_com_iimatugai_archive_more060621_007,PARENT_CHILD
www_1101_com_iimatugai_archive_more060621_007,QUIET
www_1101_com_iimatugai_archive_more060621_008,HOME
www_1101_com_iimatugai_archive_more060621_008,PARENT_CHILD
www_1101_com_iimatugai_archive_more060621_008,IN_FRONT_OF_TV
