MishearID,TagID
coffee_break_parts_similar202108_001,STENOGRAPHY
coffee_break_parts_similar202108_001,MISHEARING
coffee_break_parts_similar202108_001,BUSINESS
coffee_break_parts_similar202108_001,MEETINGS
coffee_break_parts_similar202108_001,JAPANESE
coffee_break_parts_similar202108_001,LOANWORDS
coffee_break_parts_similar202108_001,ENGLISH
coffee_break_parts_similar202108_002,STENOGRAPHY
coffee_break_parts_similar202108_002,MISHEARING
coffee_break_parts_similar202108_002,BUSINESS
coffee_break_parts_similar202108_002,MEETINGS
coffee_break_parts_similar202108_002,JAPANESE
coffee_break_parts_similar202108_002,LOANWORDS
coffee_break_parts_similar202108_003,STENOGRAPHY
coffee_break_parts_similar202108_003,MISHEARING
coffee_break_parts_similar202108_003,BUSINESS
coffee_break_parts_similar202108_003,MEETINGS
coffee_break_parts_similar202108_003,JAPANESE
coffee_break_parts_similar202108_004,STENOGRAPHY
coffee_break_parts_similar202108_004,MISHEARING
coffee_break_parts_similar202108_004,BUSINESS
coffee_break_parts_similar202108_004,MEETINGS
coffee_break_parts_similar202108_004,JAPANESE
coffee_break_parts_similar202108_004,IT
coffee_break_parts_similar202108_004,LOANWORDS
coffee_break_parts_similar202108_005,STENOGRAPHY
coffee_break_parts_similar202108_005,MISHEARING
coffee_break_parts_similar202108_005,BUSINESS
coffee_break_parts_similar202108_005,MEETINGS
coffee_break_parts_similar202108_005,JAPANESE
coffee_break_parts_similar202108_005,PUBLISHING
