MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,Language,Tags,Envs
askdoctors_iimachi_001,おこめ,こおめ,音の順序に注意,音の順序が逆になる言い間違い。30代女性、語健忘傾向。,True,askdoctors_iimachi,https://www.askdoctors.jp/search/topics/q:%E8%A8%80%E3%81%84%E9%96%93%E9%81%95%E3%81%88%E3%81%8C%E5%A2%97%E3%81%88%E3%81%9F,日本語,"['医療', '言い間違い', '認知症', 'ストレス']","['家庭', '日常生活']"
askdoctors_iimachi_002,令和,れいせい,年号の混同に注意,「平成」と混ざった言い間違い。40代男性、年末のストレス。,True,askdoctors_iimachi,https://www.askdoctors.jp/search/topics/q:%E8%A8%80%E3%81%84%E9%96%93%E9%81%95%E3%81%88%E3%81%8C%E5%A2%97%E3%81%88%E3%81%9F,日本語,"['医療', '言い間違い', 'ストレス']","['家庭', '職場']"
askdoctors_iimachi_003,Fax届いてる,メール届いてる,伝達手段の混同に注意,伝達手段を言い間違えた。40代男性、ストレス下。,True,askdoctors_iimachi,https://www.askdoctors.jp/search/topics/q:%E8%A8%80%E3%81%84%E9%96%93%E9%81%95%E3%81%88%E3%81%8C%E5%A2%97%E3%81%88%E3%81%9F,日本語,"['医療', '言い間違い', 'ストレス']","['家庭', '職場']"
askdoctors_iimachi_004,りんごジュース注いだよ,タオル注いだよ,直前の視覚情報に注意,直前に見たものに引きずられる言い間違い。40代女性。,True,askdoctors_iimachi,https://www.askdoctors.jp/search/topics/q:%E8%A8%80%E3%81%84%E9%96%93%E9%81%95%E3%81%88%E3%81%8C%E5%A2%97%E3%81%88%E3%81%9F,日本語,"['医療', '言い間違い', '認知症', 'ストレス']",['家庭']
askdoctors_iimachi_005,昨日は酷い雪だった,昨日は酷い雨だった,天候の言い間違いに注意,天候の言い間違い。40代女性。,True,askdoctors_iimachi,https://www.askdoctors.jp/search/topics/q:%E8%A8%80%E3%81%84%E9%96%93%E9%81%95%E3%81%88%E3%81%8C%E5%A2%97%E3%81%88%E3%81%9F,日本語,"['医療', '言い間違い', '認知症']",['家庭']
askdoctors_iimachi_006,スマホ,リモコン,家電名の混同に注意,家電名の言い間違い。40代女性。,True,askdoctors_iimachi,https://www.askdoctors.jp/search/topics/q:%E8%A8%80%E3%81%84%E9%96%93%E9%81%95%E3%81%88%E3%81%8C%E5%A2%97%E3%81%88%E3%81%9F,日本語,"['医療', '言い間違い']",['家庭']
askdoctors_iimachi_007,消防車,救急車,乗り物名の混同に注意,乗り物名の言い間違い。30代女性。,True,askdoctors_iimachi,https://www.askdoctors.jp/search/topics/q:%E8%A8%80%E3%81%84%E9%96%93%E9%81%95%E3%81%88%E3%81%8C%E5%A2%97%E3%81%88%E3%81%9F,日本語,"['医療', '言い間違い']",['家庭']
askdoctors_iimachi_008,掃除,洗濯,家事名の混同に注意,家事名の言い間違い。30代女性。,True,askdoctors_iimachi,https://www.askdoctors.jp/search/topics/q:%E8%A8%80%E3%81%84%E9%96%93%E9%81%95%E3%81%88%E3%81%8C%E5%A2%97%E3%81%88%E3%81%9F,日本語,"['医療', '言い間違い']",['家庭']
askdoctors_iimachi_009,赤,青,色の言い間違いに注意,色の言い間違い。30代女性。,True,askdoctors_iimachi,https://www.askdoctors.jp/search/topics/q:%E8%A8%80%E3%81%84%E9%96%93%E9%81%95%E3%81%88%E3%81%8C%E5%A2%97%E3%81%88%E3%81%9F,日本語,"['医療', '言い間違い']",['家庭']
askdoctors_iimachi_010,洗濯しておいて,洗濯取り込んでおいて,家事動作の混同に注意,家事動作の言い間違い。30代女性。,True,askdoctors_iimachi,https://www.askdoctors.jp/search/topics/q:%E8%A8%80%E3%81%84%E9%96%93%E9%81%95%E3%81%88%E3%81%8C%E5%A2%97%E3%81%88%E3%81%9F,日本語,"['医療', '言い間違い']",['家庭']
askdoctors_iimachi_011,椅子,机,家具名の混同に注意,家具名の言い間違い。30代女性。,True,askdoctors_iimachi,https://www.askdoctors.jp/search/topics/q:%E8%A8%80%E3%81%84%E9%96%93%E9%81%95%E3%81%88%E3%81%8C%E5%A2%97%E3%81%88%E3%81%9F,日本語,"['医療', '言い間違い']",['家庭']
