MishearID,EnvID
niftykids_200408100935_003,HOME
niftykids_200408100935_004,SCHOOL
niftykids_200408100935_004,HOME
niftykids_200408100935_005,HOME
niftykids_200408100935_006,SCHOOL
niftykids_200408100935_006,HOME
niftykids_200408100935_007,SCHOOL
niftykids_200408100935_007,HOME
niftykids_200408100935_008,SCHOOL
niftykids_200408100935_010,SCHOOL
niftykids_200408100935_010,HOME
niftykids_200408100935_016,HOME
niftykids_200408100935_017,HOME
niftykids_200408100935_018,HOME
niftykids_200408100935_019,HOME
niftykids_200408100935_001,SCHOOL
niftykids_200408100935_002,SCHOOL
niftykids_200408100935_011,SCHOOL
niftykids_200408100935_011,HOME
niftykids_200408100935_012,SCHOOL
niftykids_200408100935_012,HOME
niftykids_200408100935_013,SCHOOL
niftykids_200408100935_013,HOME
niftykids_200408100935_014,SCHOOL
niftykids_200408100935_014,HOME
niftykids_200408100935_015,SCHOOL
niftykids_200408100935_015,HOME
