MishearID,EnvID
tms_mrmhsp_index2_001,HOSPITAL
tms_mrmhsp_index2_001,OUTPATIENT_RECEPTION
tms_mrmhsp_index2_001,INPATIENT_WARD
tms_mrmhsp_index2_001,EXAMINATION_ROOM
tms_mrmhsp_index2_001,MEDICATION_ADMINISTRATION_SITE
tms_mrmhsp_index2_001,MEAL_DISTRIBUTION_SITE
tms_mrmhsp_index2_001,GENERAL_MEDICAL_ENVIRONMENT
tms_mrmhsp_index2_001,NOISY
tms_mrmhsp_index2_001,FACE_TO_FACE_ORAL
tms_mrmhsp_index2_002,HOSPITAL
tms_mrmhsp_index2_002,OUTPATIENT_RECEPTION
tms_mrmhsp_index2_002,INPATIENT_WARD
tms_mrmhsp_index2_002,EXAMINATION_ROOM
tms_mrmhsp_index2_002,MEDICATION_ADMINISTRATION_SITE
tms_mrmhsp_index2_002,MEAL_DISTRIBUTION_SITE
tms_mrmhsp_index2_002,GENERAL_MEDICAL_ENVIRONMENT
tms_mrmhsp_index2_002,NOISY
tms_mrmhsp_index2_002,FACE_TO_FACE_ORAL
