MishearID,EnvID
rarejob_20200826_001,ONLINE_ENGLISH_CONVERSATION
rarejob_20200826_001,MOVIE_DRAMA_VIEWING
rarejob_20200826_001,ENGLISH_LEARNING_ENVIRONMENT
rarejob_20200826_001,AUDIO_MATERIAL
rarejob_20200826_001,YOUTUBE_PODCAST
rarejob_20200826_001,COMMUNICATION_ENVIRONMENT
rarejob_20200826_002,ONLINE_ENGLISH_CONVERSATION
rarejob_20200826_002,MOVIE_DRAMA_VIEWING
rarejob_20200826_002,ENGLISH_LEARNING_ENVIRONMENT
rarejob_20200826_002,AUDIO_MATERIAL
rarejob_20200826_002,YOUTUBE_PODCAST
rarejob_20200826_002,COMMUNICATION_ENVIRONMENT
rarejob_20200826_003,ONLINE_ENGLISH_CONVERSATION
rarejob_20200826_003,MOVIE_DRAMA_VIEWING
rarejob_20200826_003,ENGLISH_LEARNING_ENVIRONMENT
rarejob_20200826_003,AUDIO_MATERIAL
rarejob_20200826_003,YOUTUBE_PODCAST
rarejob_20200826_003,COMMUNICATION_ENVIRONMENT
rarejob_20200826_004,ONLINE_ENGLISH_CONVERSATION
rarejob_20200826_004,MOVIE_DRAMA_VIEWING
rarejob_20200826_004,ENGLISH_LEARNING_ENVIRONMENT
rarejob_20200826_004,AUDIO_MATERIAL
rarejob_20200826_004,YOUTUBE_PODCAST
rarejob_20200826_004,COMMUNICATION_ENVIRONMENT
rarejob_20200826_005,ONLINE_ENGLISH_CONVERSATION
rarejob_20200826_005,MOVIE_DRAMA_VIEWING
rarejob_20200826_005,ENGLISH_LEARNING_ENVIRONMENT
rarejob_20200826_005,AUDIO_MATERIAL
rarejob_20200826_005,YOUTUBE_PODCAST
rarejob_20200826_005,COMMUNICATION_ENVIRONMENT
rarejob_20200826_006,ONLINE_ENGLISH_CONVERSATION
rarejob_20200826_006,MOVIE_DRAMA_VIEWING
rarejob_20200826_006,ENGLISH_LEARNING_ENVIRONMENT
rarejob_20200826_006,AUDIO_MATERIAL
rarejob_20200826_006,YOUTUBE_PODCAST
rarejob_20200826_006,COMMUNICATION_ENVIRONMENT
