MishearID,TagID
ojukenmaster_1801431233605603614_001,GEONAME
ojukenmaster_1801431233605603614_001,DIALECT
ojukenmaster_1801431233605603614_001,EAST_KANTO_DIALECT
ojukenmaster_1801431233605603614_001,TAXI
ojukenmaster_1801431233605603614_001,PHONE
ojukenmaster_1801431233605603614_001,MISHEARING
ojukenmaster_1801431233605603614_001,JAPANESE
ojukenmaster_1801431233605603614_002,GEONAME
ojukenmaster_1801431233605603614_002,DIALECT
ojukenmaster_1801431233605603614_002,EAST_KANTO_DIALECT
ojukenmaster_1801431233605603614_002,TAXI
ojukenmaster_1801431233605603614_002,PHONE
ojukenmaster_1801431233605603614_002,MISHEARING
ojukenmaster_1801431233605603614_002,JAPANESE
