MishearID,EnvID
prtimes_000000028_001,PHONE
prtimes_000000028_001,DAILY_LIFE
prtimes_000000028_001,ELDERLY_FACILITY
prtimes_000000028_001,HOSPITAL
prtimes_000000028_001,HOME
prtimes_000000028_001,OFFICE
prtimes_000000028_001,NOISY_ENVIRONMENT
prtimes_000000028_001,SMARTPHONE_APP
prtimes_000000028_002,PHONE
prtimes_000000028_002,DAILY_LIFE
prtimes_000000028_002,ELDERLY_FACILITY
prtimes_000000028_002,HOSPITAL
prtimes_000000028_002,HOME
prtimes_000000028_002,OFFICE
prtimes_000000028_002,NOISY_ENVIRONMENT
prtimes_000000028_002,SMARTPHONE_APP
