MishearID,EnvID
echohikakuguide_20200821_001,TV_NOCHIKU
echohikakuguide_20200821_001,LIVING
echohikakuguide_20200821_001,NOISY
echohikakuguide_20200821_001,BUILT_IN_MIC
echohikakuguide_20200821_002,TV_NOCHIKU
echohikakuguide_20200821_002,LIVING
echohikakuguide_20200821_002,NOISY
echohikakuguide_20200821_002,BUILT_IN_MIC
echohikakuguide_20200821_003,TV_NOCHIKU
echohikakuguide_20200821_003,LIVING
echohikakuguide_20200821_003,NOISY
echohikakuguide_20200821_003,BUILT_IN_MIC
echohikakuguide_20200821_004,TV_NOCHIKU
echohikakuguide_20200821_004,LIVING
echohikakuguide_20200821_004,NOISY
echohikakuguide_20200821_004,BUILT_IN_MIC
echohikakuguide_20200821_005,TV_NOCHIKU
echohikakuguide_20200821_005,LIVING
echohikakuguide_20200821_005,NOISY
echohikakuguide_20200821_005,BUILT_IN_MIC
echohikakuguide_20200821_006,TV_NOCHIKU
echohikakuguide_20200821_006,LIVING
echohikakuguide_20200821_006,NOISY
echohikakuguide_20200821_006,BUILT_IN_MIC
