MishearID,TagID
udiscover_misquoted_001,WESTERN_MUSIC
udiscover_misquoted_001,MISHEARING
udiscover_misquoted_001,LYRICS
udiscover_misquoted_001,ROCK
udiscover_misquoted_002,WESTERN_MUSIC
udiscover_misquoted_002,MISHEARING
udiscover_misquoted_002,LYRICS
udiscover_misquoted_002,ROCK
udiscover_misquoted_003,WESTERN_MUSIC
udiscover_misquoted_003,MISHEARING
udiscover_misquoted_003,LYRICS
udiscover_misquoted_003,POPS
udiscover_misquoted_004,WESTERN_MUSIC
udiscover_misquoted_004,MISHEARING
udiscover_misquoted_004,LYRICS
udiscover_misquoted_004,POPS
udiscover_misquoted_005,WESTERN_MUSIC
udiscover_misquoted_005,MISHEARING
udiscover_misquoted_005,LYRICS
udiscover_misquoted_005,POPS
udiscover_misquoted_006,WESTERN_MUSIC
udiscover_misquoted_006,MISHEARING
udiscover_misquoted_006,LYRICS
udiscover_misquoted_006,POPS
udiscover_misquoted_007,WESTERN_MUSIC
udiscover_misquoted_007,MISHEARING
udiscover_misquoted_007,LYRICS
udiscover_misquoted_007,ROCK
udiscover_misquoted_008,WESTERN_MUSIC
udiscover_misquoted_008,MISHEARING
udiscover_misquoted_008,LYRICS
udiscover_misquoted_008,ROCK
udiscover_misquoted_009,WESTERN_MUSIC
udiscover_misquoted_009,MISHEARING
udiscover_misquoted_009,LYRICS
udiscover_misquoted_009,POPS
udiscover_misquoted_010,WESTERN_MUSIC
udiscover_misquoted_010,MISHEARING
udiscover_misquoted_010,LYRICS
udiscover_misquoted_010,ROCK
udiscover_misquoted_011,WESTERN_MUSIC
udiscover_misquoted_011,MISHEARING
udiscover_misquoted_011,LYRICS
udiscover_misquoted_011,REGGAE
udiscover_misquoted_012,WESTERN_MUSIC
udiscover_misquoted_012,MISHEARING
udiscover_misquoted_012,LYRICS
udiscover_misquoted_012,R_B
udiscover_misquoted_013,WESTERN_MUSIC
udiscover_misquoted_013,MISHEARING
udiscover_misquoted_013,LYRICS
udiscover_misquoted_013,ROCK
udiscover_misquoted_014,WESTERN_MUSIC
udiscover_misquoted_014,MISHEARING
udiscover_misquoted_014,LYRICS
udiscover_misquoted_014,SOUL
udiscover_misquoted_015,WESTERN_MUSIC
udiscover_misquoted_015,MISHEARING
udiscover_misquoted_015,LYRICS
udiscover_misquoted_015,ROCK
