MishearID,TagID
reds_p122713_001,PHONE_SUPPORT
reds_p122713_001,CALL_CENTER
reds_p122713_001,HIRAGANA
reds_p122713_001,LOANWORD
reds_p122713_001,MISHEARING
reds_p122713_001,PHONETIC_ALPHABET
reds_p122713_001,REAL_ESTATE
reds_p122713_001,WORK
reds_p122713_001,BUSINESS
reds_p122713_002,PHONE_SUPPORT
reds_p122713_002,CALL_CENTER
reds_p122713_002,ALPHABET
reds_p122713_002,MISHEARING
reds_p122713_002,PHONETIC_ALPHABET
reds_p122713_002,PHONETIC_CODE
reds_p122713_002,REAL_ESTATE
reds_p122713_002,WORK
reds_p122713_003,PHONE_SUPPORT
reds_p122713_003,CALL_CENTER
reds_p122713_003,ALPHABET
reds_p122713_003,MISHEARING
reds_p122713_003,PHONETIC_ALPHABET
reds_p122713_003,PHONETIC_CODE
reds_p122713_003,REAL_ESTATE
reds_p122713_003,WORK
