MishearID,EnvID
grape_1796026_001,STORE
grape_1796026_001,CUSTOMER_COUNTER
grape_1796026_001,INSIDE_STORE
grape_1796026_001,FACE_TO_FACE_CONVERSATION
grape_1796026_003,STORE
grape_1796026_003,CUSTOMER_COUNTER
grape_1796026_003,INSIDE_STORE
grape_1796026_003,FACE_TO_FACE_CONVERSATION
grape_1796026_004,STORE
grape_1796026_004,CUSTOMER_COUNTER
grape_1796026_004,INSIDE_STORE
grape_1796026_004,FACE_TO_FACE_CONVERSATION
grape_1796026_005,STORE
grape_1796026_005,CUSTOMER_COUNTER
grape_1796026_005,INSIDE_STORE
grape_1796026_005,FACE_TO_FACE_CONVERSATION
grape_1796026_006,STORE
grape_1796026_006,CUSTOMER_COUNTER
grape_1796026_006,INSIDE_STORE
grape_1796026_006,FACE_TO_FACE_CONVERSATION
grape_1796026_007,STORE
grape_1796026_007,CUSTOMER_COUNTER
grape_1796026_007,INSIDE_STORE
grape_1796026_007,FACE_TO_FACE_CONVERSATION
grape_1796026_008,STORE
grape_1796026_008,CUSTOMER_COUNTER
grape_1796026_008,INSIDE_STORE
grape_1796026_008,FACE_TO_FACE_CONVERSATION
grape_1796026_009,STORE
grape_1796026_009,CUSTOMER_COUNTER
grape_1796026_009,INSIDE_STORE
grape_1796026_009,FACE_TO_FACE_CONVERSATION
