MishearID,EnvID
heartpage_08_00614_001,ELDERLY_HOME
heartpage_08_00614_001,HOME_VISIT_CARE_SITE
heartpage_08_00614_001,HEARING_IMPAIRMENT
heartpage_08_00614_001,DAILY_LIFE
heartpage_08_00614_001,WITHOUT_HEARING_AID
heartpage_08_00614_001,FACE_TO_FACE_CONVERSATION
heartpage_08_00614_002,ELDERLY_HOME
heartpage_08_00614_002,HOME_VISIT_CARE_SITE
heartpage_08_00614_002,HEARING_IMPAIRMENT
heartpage_08_00614_002,DAILY_LIFE
heartpage_08_00614_002,WITHOUT_HEARING_AID
heartpage_08_00614_002,FACE_TO_FACE_CONVERSATION
heartpage_08_00614_003,ELDERLY_HOME
heartpage_08_00614_003,HOME_VISIT_CARE_SITE
heartpage_08_00614_003,HEARING_IMPAIRMENT
heartpage_08_00614_003,DAILY_LIFE
heartpage_08_00614_003,WITHOUT_HEARING_AID
heartpage_08_00614_003,FACE_TO_FACE_CONVERSATION
