MishearID,EnvID
yoden_shinobu_15118_001,KATEI
yoden_shinobu_15118_001,TENPO
yoden_shinobu_15118_001,NICHIJOU_KAIWA
yoden_shinobu_15118_001,SHIZUKANA_KANKYOU
yoden_shinobu_15118_002,KATEI
yoden_shinobu_15118_002,TENPO
yoden_shinobu_15118_002,NICHIJOU_KAIWA
yoden_shinobu_15118_002,SHIZUKANA_KANKYOU
yoden_shinobu_15118_003,KATEI
yoden_shinobu_15118_003,TENPO
yoden_shinobu_15118_003,NICHIJOU_KAIWA
yoden_shinobu_15118_003,SHIZUKANA_KANKYOU
yoden_shinobu_15118_004,KATEI
yoden_shinobu_15118_004,TENPO
yoden_shinobu_15118_004,NICHIJOU_KAIWA
yoden_shinobu_15118_004,SHIZUKANA_KANKYOU
yoden_shinobu_15118_005,KATEI
yoden_shinobu_15118_005,TENPO
yoden_shinobu_15118_005,NICHIJOU_KAIWA
yoden_shinobu_15118_005,SHIZUKANA_KANKYOU
