MishearID,EnvID
medicalnikkeibp_530218_001,PHONE
medicalnikkeibp_530218_001,MEDICAL_SITE
medicalnikkeibp_530218_001,OFFICE
medicalnikkeibp_530218_001,COMMUNICATION_ENVIRONMENT
medicalnikkeibp_530218_002,PHARMACY_COUNTER
medicalnikkeibp_530218_002,FACE_TO_FACE_CONVERSATION
medicalnikkeibp_530218_003,PHARMACY_RECEPTION
medicalnikkeibp_530218_003,PHONE
medicalnikkeibp_530218_004,PHARMACY
medicalnikkeibp_530218_004,PHONE
medicalnikkeibp_530218_005,EXAMINATION_ROOM
medicalnikkeibp_530218_005,FACE_TO_FACE
medicalnikkeibp_530218_006,PHARMACY_COUNTER
medicalnikkeibp_530218_006,FACE_TO_FACE
medicalnikkeibp_530218_007,EXAMINATION_ROOM
medicalnikkeibp_530218_007,FACE_TO_FACE
medicalnikkeibp_530218_008,PHARMACY_COUNTER
medicalnikkeibp_530218_008,FACE_TO_FACE
medicalnikkeibp_530218_009,RECEPTION
medicalnikkeibp_530218_009,FACE_TO_FACE
