MishearID,EnvID
yahooexpert_73e6a209_001,MEETING_ROOM
yahooexpert_73e6a209_001,OFFICE
yahooexpert_73e6a209_001,FACE_TO_FACE_CONVERSATION
yahooexpert_73e6a209_002,MEETING_ROOM
yahooexpert_73e6a209_002,OFFICE
yahooexpert_73e6a209_002,FACE_TO_FACE_CONVERSATION
yahooexpert_73e6a209_003,MEETING_ROOM
yahooexpert_73e6a209_003,OFFICE
yahooexpert_73e6a209_003,FACE_TO_FACE_CONVERSATION
yahooexpert_73e6a209_004,MEETING_ROOM
yahooexpert_73e6a209_004,OFFICE
yahooexpert_73e6a209_004,FACE_TO_FACE_CONVERSATION
yahooexpert_73e6a209_005,MEETING_ROOM
yahooexpert_73e6a209_005,OFFICE
yahooexpert_73e6a209_005,FACE_TO_FACE_CONVERSATION
