MishearID,Src,Tgt,Tips,Note,OriginalFlag,DocID,URL,SpeakerID,ListenerID,Language
callcenter_supportknowhow_001,B,D,フォネティックコードや言い換え推奨,電話越しで「B」と「D」は非常に混同しやすい。,True,callcenter_supportknowhow,https://ma-inc.jp/supportzine/wp-content/uploads/2021/04/callcenter-support-knowhow.pdf,,,ja
callcenter_supportknowhow_002,M,N,フォネティックコードや言い換え推奨,「M」と「N」も混同しやすい。,True,callcenter_supportknowhow,https://ma-inc.jp/supportzine/wp-content/uploads/2021/04/callcenter-support-knowhow.pdf,,,ja
callcenter_supportknowhow_003,S,F,フォネティックコードや言い換え推奨,「S」と「F」も混同しやすい。,True,callcenter_supportknowhow,https://ma-inc.jp/supportzine/wp-content/uploads/2021/04/callcenter-support-knowhow.pdf,,,ja
callcenter_supportknowhow_004,C,E,フォネティックコードや言い換え推奨,「C」と「E」も混同しやすい。,True,callcenter_supportknowhow,https://ma-inc.jp/supportzine/wp-content/uploads/2021/04/callcenter-support-knowhow.pdf,,,ja
callcenter_supportknowhow_005,P,B,フォネティックコードや言い換え推奨,「P」と「B」も混同しやすい。,True,callcenter_supportknowhow,https://ma-inc.jp/supportzine/wp-content/uploads/2021/04/callcenter-support-knowhow.pdf,,,ja
callcenter_supportknowhow_006,T,D,フォネティックコードや言い換え推奨,「T」と「D」も混同しやすい。,True,callcenter_supportknowhow,https://ma-inc.jp/supportzine/wp-content/uploads/2021/04/callcenter-support-knowhow.pdf,,,ja
callcenter_supportknowhow_007,A,E,フォネティックコードや言い換え推奨,「A」と「E」も混同しやすい。,True,callcenter_supportknowhow,https://ma-inc.jp/supportzine/wp-content/uploads/2021/04/callcenter-support-knowhow.pdf,,,ja
callcenter_supportknowhow_008,O,0,フォネティックコードや言い換え推奨,「O（オー）」と「0（ゼロ）」の混同。,True,callcenter_supportknowhow,https://ma-inc.jp/supportzine/wp-content/uploads/2021/04/callcenter-support-knowhow.pdf,,,ja
callcenter_supportknowhow_009,I,1,フォネティックコードや言い換え推奨,「I（アイ）」と「1（イチ）」の混同。,True,callcenter_supportknowhow,https://ma-inc.jp/supportzine/wp-content/uploads/2021/04/callcenter-support-knowhow.pdf,,,ja
callcenter_supportknowhow_010,Q,9,フォネティックコードや言い換え推奨,「Q（キュー）」と「9（キュウ）」の混同。,True,callcenter_supportknowhow,https://ma-inc.jp/supportzine/wp-content/uploads/2021/04/callcenter-support-knowhow.pdf,,,ja
callcenter_supportknowhow_011,U,W,フォネティックコードや言い換え推奨,「U」と「W」も混同しやすい。,True,callcenter_supportknowhow,https://ma-inc.jp/supportzine/wp-content/uploads/2021/04/callcenter-support-knowhow.pdf,,,ja
callcenter_supportknowhow_012,G,Z,フォネティックコードや言い換え推奨,「G」と「Z」も混同しやすい。,True,callcenter_supportknowhow,https://ma-inc.jp/supportzine/wp-content/uploads/2021/04/callcenter-support-knowhow.pdf,,,ja
callcenter_supportknowhow_013,V,B,フォネティックコードや言い換え推奨,「V」と「B」も混同しやすい。,True,callcenter_supportknowhow,https://ma-inc.jp/supportzine/wp-content/uploads/2021/04/callcenter-support-knowhow.pdf,,,ja
callcenter_supportknowhow_014,L,R,フォネティックコードや言い換え推奨,「L」と「R」も混同しやすい。,True,callcenter_supportknowhow,https://ma-inc.jp/supportzine/wp-content/uploads/2021/04/callcenter-support-knowhow.pdf,,,ja
callcenter_supportknowhow_015,K,H,フォネティックコードや言い換え推奨,「K」と「H」も混同しやすい。,True,callcenter_supportknowhow,https://ma-inc.jp/supportzine/wp-content/uploads/2021/04/callcenter-support-knowhow.pdf,,,ja
callcenter_supportknowhow_016,X,S,フォネティックコードや言い換え推奨,「X」と「S」も混同しやすい。,True,callcenter_supportknowhow,https://ma-inc.jp/supportzine/wp-content/uploads/2021/04/callcenter-support-knowhow.pdf,,,ja
