MishearID,TagID
autismadhd_kikimachigae_001,HATTATSU_SHOGAI
autismadhd_kikimachigae_001,JIHEISHO
autismadhd_kikimachigae_001,ADHD
autismadhd_kikimachigae_001,ASPERGER_SYNDROME
autismadhd_kikimachigae_001,MISHEARING
autismadhd_kikimachigae_001,COMMUNICATION
autismadhd_kikimachigae_001,CHOKAKU
autismadhd_kikimachigae_001,NAIJI
autismadhd_kikimachigae_001,GENGO_SHOGAI
autismadhd_kikimachigae_002,HATTATSU_SHOGAI
autismadhd_kikimachigae_002,JIHEISHO
autismadhd_kikimachigae_002,ADHD
autismadhd_kikimachigae_002,ASPERGER_SYNDROME
autismadhd_kikimachigae_002,MISHEARING
autismadhd_kikimachigae_002,COMMUNICATION
autismadhd_kikimachigae_002,CHOKAKU
autismadhd_kikimachigae_002,NAIJI
autismadhd_kikimachigae_002,GENGO_SHOGAI
autismadhd_kikimachigae_003,HATTATSU_SHOGAI
autismadhd_kikimachigae_003,JIHEISHO
autismadhd_kikimachigae_003,ADHD
autismadhd_kikimachigae_003,ASPERGER_SYNDROME
autismadhd_kikimachigae_003,MISHEARING
autismadhd_kikimachigae_003,COMMUNICATION
autismadhd_kikimachigae_003,CHOKAKU
autismadhd_kikimachigae_003,NAIJI
autismadhd_kikimachigae_003,GENGO_SHOGAI
