MishearID,EnvID
togetter_1209435_001,RELATIVE_CONVERSATION
togetter_1209435_001,SNS
togetter_1209435_002,PART_TIME_JOB_INTERVIEW
togetter_1209435_002,RELATIVE_CONVERSATION
togetter_1209435_002,SNS
togetter_1209435_003,RELATIVE_CONVERSATION
togetter_1209435_003,SNS
togetter_1209435_004,SCHOOL
togetter_1209435_004,SNS
togetter_1209435_005,HOSPITAL
togetter_1209435_005,SNS
togetter_1209435_006,RELATIVE_CONVERSATION
togetter_1209435_006,SNS
togetter_1209435_007,RELATIVE_CONVERSATION
togetter_1209435_007,SNS
