MishearID,TagID
www_1101_com_iimatugai_archive_more060327_001,MISHEARING
www_1101_com_iimatugai_archive_more060327_001,RESTAURANT
www_1101_com_iimatugai_archive_more060327_001,DAILY_CONVERSATION
www_1101_com_iimatugai_archive_more060327_002,MISHEARING
www_1101_com_iimatugai_archive_more060327_002,WORKPLACE
www_1101_com_iimatugai_archive_more060327_002,DAILY_CONVERSATION
www_1101_com_iimatugai_archive_more060327_003,MISHEARING
www_1101_com_iimatugai_archive_more060327_003,HOME
www_1101_com_iimatugai_archive_more060327_003,ANIME
www_1101_com_iimatugai_archive_more060327_004,MISHEARING
www_1101_com_iimatugai_archive_more060327_004,PHONE
www_1101_com_iimatugai_archive_more060327_004,WORKPLACE
www_1101_com_iimatugai_archive_more060327_005,MISHEARING
www_1101_com_iimatugai_archive_more060327_005,WORKPLACE
www_1101_com_iimatugai_archive_more060327_005,DAILY_CONVERSATION
www_1101_com_iimatugai_archive_more060327_006,MISHEARING
www_1101_com_iimatugai_archive_more060327_006,TELEVISION
www_1101_com_iimatugai_archive_more060327_006,VARIETY_SHOW
www_1101_com_iimatugai_archive_more060327_007,MISHEARING
www_1101_com_iimatugai_archive_more060327_007,COMMERCIAL
www_1101_com_iimatugai_archive_more060327_007,TELEVISION
www_1101_com_iimatugai_archive_more060327_008,MISHEARING
www_1101_com_iimatugai_archive_more060327_008,COOKING
www_1101_com_iimatugai_archive_more060327_008,TELEVISION
www_1101_com_iimatugai_archive_more060327_009,MISHEARING
www_1101_com_iimatugai_archive_more060327_009,MOVIE
www_1101_com_iimatugai_archive_more060327_009,TELEVISION
www_1101_com_iimatugai_archive_more060327_010,MISHEARING
www_1101_com_iimatugai_archive_more060327_010,WORKPLACE
www_1101_com_iimatugai_archive_more060327_010,DAILY_CONVERSATION
