MishearID,TagID
www_1101_com_m_iimatugai_1229_html_001,IIMANAE
www_1101_com_m_iimatugai_1229_html_001,KIKIMANAE
www_1101_com_m_iimatugai_1229_html_001,TELEVISION
www_1101_com_m_iimatugai_1229_html_002,IIMANAE
www_1101_com_m_iimatugai_1229_html_002,KIKIMANAE
www_1101_com_m_iimatugai_1229_html_002,FAMILY
www_1101_com_m_iimatugai_1229_html_002,MOVIE
www_1101_com_m_iimatugai_1229_html_003,IIMANAE
www_1101_com_m_iimatugai_1229_html_003,KIKIMANAE
www_1101_com_m_iimatugai_1229_html_003,FAMILY
www_1101_com_m_iimatugai_1229_html_003,TELEVISION
www_1101_com_m_iimatugai_1229_html_004,IIMANAE
www_1101_com_m_iimatugai_1229_html_004,KIKIMANAE
www_1101_com_m_iimatugai_1229_html_004,RADIO
www_1101_com_m_iimatugai_1229_html_005,IIMANAE
www_1101_com_m_iimatugai_1229_html_005,KIKIMANAE
www_1101_com_m_iimatugai_1229_html_005,TELEVISION
www_1101_com_m_iimatugai_1229_html_005,GEONAME
www_1101_com_m_iimatugai_1229_html_006,IIMANAE
www_1101_com_m_iimatugai_1229_html_006,KIKIMANAE
www_1101_com_m_iimatugai_1229_html_006,FAMILY
www_1101_com_m_iimatugai_1229_html_006,PROPER_NOUN
www_1101_com_m_iimatugai_1229_html_007,IIMANAE
www_1101_com_m_iimatugai_1229_html_007,KIKIMANAE
www_1101_com_m_iimatugai_1229_html_007,GEONAME
www_1101_com_m_iimatugai_1229_html_007,TRAIN
www_1101_com_m_iimatugai_1229_html_008,IIMANAE
www_1101_com_m_iimatugai_1229_html_008,KIKIMANAE
www_1101_com_m_iimatugai_1229_html_008,COMPANY
www_1101_com_m_iimatugai_1229_html_008,PHONE
www_1101_com_m_iimatugai_1229_html_009,IIMANAE
www_1101_com_m_iimatugai_1229_html_009,KIKIMANAE
www_1101_com_m_iimatugai_1229_html_009,QUIZ
www_1101_com_m_iimatugai_1229_html_009,FAMILY
www_1101_com_m_iimatugai_1229_html_010,IIMANAE
www_1101_com_m_iimatugai_1229_html_010,KIKIMANAE
www_1101_com_m_iimatugai_1229_html_010,TELEVISION
www_1101_com_m_iimatugai_1229_html_010,GEONAME
