MishearID,TagID
www1101iimatugai20100126_001,MISHEARING
www1101iimatugai20100126_001,TELEVISION
www1101iimatugai20100126_001,HUMOR
www1101iimatugai20100126_001,JAPANESE
www1101iimatugai20100126_002,MISHEARING
www1101iimatugai20100126_002,PHONE
www1101iimatugai20100126_002,HOME
www1101iimatugai20100126_002,JAPANESE
www1101iimatugai20100126_003,MISHEARING
www1101iimatugai20100126_003,COMPANY
www1101iimatugai20100126_003,HUMOR
www1101iimatugai20100126_003,JAPANESE
www1101iimatugai20100126_004,MISHEARING
www1101iimatugai20100126_004,SCHOOL
www1101iimatugai20100126_004,GYMNASIUM
www1101iimatugai20100126_004,HUMOR
www1101iimatugai20100126_004,JAPANESE
www1101iimatugai20100126_005,MISHEARING
www1101iimatugai20100126_005,TELEVISION
www1101iimatugai20100126_005,HOME
www1101iimatugai20100126_005,HUMOR
www1101iimatugai20100126_005,JAPANESE
www1101iimatugai20100126_006,MISHEARING
www1101iimatugai20100126_006,TELEVISION
www1101iimatugai20100126_006,HUMOR
www1101iimatugai20100126_006,JAPANESE
www1101iimatugai20100126_007,MISHEARING
www1101iimatugai20100126_007,HOME
www1101iimatugai20100126_007,HUMOR
www1101iimatugai20100126_007,JAPANESE
www1101iimatugai20100126_008,MISHEARING
www1101iimatugai20100126_008,TELEVISION
www1101iimatugai20100126_008,HOME
www1101iimatugai20100126_008,HUMOR
www1101iimatugai20100126_008,JAPANESE
