MishearID,EnvID
kyoto55taxi_4284_001,TAXI_CAR
kyoto55taxi_4284_001,DRIVING
kyoto55taxi_4284_001,KYOTO_CITY
kyoto55taxi_4284_001,VERBAL_COMMUNICATION
kyoto55taxi_4284_002,TAXI_CAR
kyoto55taxi_4284_002,DRIVING
kyoto55taxi_4284_002,KYOTO_CITY
kyoto55taxi_4284_002,VERBAL_COMMUNICATION
kyoto55taxi_4284_003,TAXI_CAR
kyoto55taxi_4284_003,DRIVING
kyoto55taxi_4284_003,KYOTO_CITY
kyoto55taxi_4284_003,VERBAL_COMMUNICATION
kyoto55taxi_4284_004,TAXI_CAR
kyoto55taxi_4284_004,DRIVING
kyoto55taxi_4284_004,KYOTO_CITY
kyoto55taxi_4284_004,VERBAL_COMMUNICATION
kyoto55taxi_4284_005,TAXI_CAR
kyoto55taxi_4284_005,DRIVING
kyoto55taxi_4284_005,KYOTO_CITY
kyoto55taxi_4284_005,VERBAL_COMMUNICATION
kyoto55taxi_4284_008,TAXI_CAR
kyoto55taxi_4284_008,DRIVING
kyoto55taxi_4284_008,KYOTO_CITY
kyoto55taxi_4284_008,VERBAL_COMMUNICATION
kyoto55taxi_4284_009,TAXI_CAR
kyoto55taxi_4284_009,DRIVING
kyoto55taxi_4284_009,KYOTO_CITY
kyoto55taxi_4284_009,VERBAL_COMMUNICATION
