MishearID,TagID
trilltrill_3639150_001,WORKPLACE
trilltrill_3639150_001,NEW_EMPLOYEE
trilltrill_3639150_001,MISHEARING
trilltrill_3639150_001,PHONE_SUPPORT
trilltrill_3639150_001,COMMUNICATION
trilltrill_3639150_001,JAPANESE_LANGUAGE
trilltrill_3639150_002,MISHEARING
trilltrill_3639150_002,FOOD_AND_DRINK
trilltrill_3639150_002,ORDER
trilltrill_3639150_002,JAPANESE_LANGUAGE
trilltrill_3639150_003,MISHEARING
trilltrill_3639150_003,WORKPLACE
trilltrill_3639150_003,ACCOUNTING
trilltrill_3639150_004,MISHEARING
trilltrill_3639150_004,HOME
trilltrill_3639150_004,CLEANING
trilltrill_3639150_004,JAPANESE_LANGUAGE
