MishearID,TagID
trilltrill_3089797_001,WORKPLACE
trilltrill_3089797_001,SUPERMARKET
trilltrill_3089797_001,MISHEARING
trilltrill_3089797_001,JAPANESE_LANGUAGE
trilltrill_3089797_001,DAILY_LIFE
trilltrill_3089797_001,NEAR_MISS
trilltrill_3089797_001,KIRAKIRA_REGISTER_DIARY
trilltrill_3089797_002,WORKPLACE
trilltrill_3089797_002,SUPERMARKET
trilltrill_3089797_002,MISHEARING
trilltrill_3089797_002,JAPANESE_LANGUAGE
trilltrill_3089797_002,DAILY_LIFE
trilltrill_3089797_002,NEAR_MISS
trilltrill_3089797_002,KIRAKIRA_REGISTER_DIARY
trilltrill_3089797_003,WORKPLACE
trilltrill_3089797_003,SUPERMARKET
trilltrill_3089797_003,MISHEARING
trilltrill_3089797_003,JAPANESE_LANGUAGE
trilltrill_3089797_003,PHONE_SUPPORT
trilltrill_3089797_003,NEAR_MISS
trilltrill_3089797_003,KIRAKIRA_REGISTER_DIARY
trilltrill_3089797_004,WORKPLACE
trilltrill_3089797_004,SUPERMARKET
trilltrill_3089797_004,MISHEARING
trilltrill_3089797_004,JAPANESE_LANGUAGE
trilltrill_3089797_004,DAILY_LIFE
trilltrill_3089797_004,NEAR_MISS
trilltrill_3089797_004,KIRAKIRA_REGISTER_DIARY
